"wl","Sargassum","Fucus vesiculosus","Zostera marina","Sand (Dark)","Mud","Posidonia oceanica","coral","Sand (Bright)","Zostera noltei"
601,0.04980936636,0.026,0.049,0.357758075,0.129477463,0.072107141,0.212902,0.407351870583745,0.0682450676045218
602,0.04962594612,0.026,0.049,0.358131409,0.129536319,0.071901146,0.214154,0.408025867048173,0.0681263458344858
603,0.04926235156,0.026,0.049,0.358454585,0.129592777333333,0.071654306,0.215406,0.408746232518442,0.0679948507114811
604,0.04872851792,0.026,0.0484675324675325,0.358777761,0.129646838,0.071378051,0.216658,0.409440745230078,0.0678183598351741
605,0.04804520792,0.0258169934640523,0.048,0.359211236,0.12969944,0.071055119,0.21791,0.410119153650103,0.0676058261276948
606,0.04723471828,0.0251633986928105,0.048,0.359708145,0.129752713666667,0.070690623,0.217392,0.410817184847523,0.0673835547791581
607,0.04632311504,0.025,0.048,0.360205054,0.129806659,0.070279134,0.216874,0.411470402722489,0.0671207971850651
608,0.0453379028,0.025,0.0478627450980392,0.360334307,0.129863405,0.069821426,0.216356,0.412096491187636,0.0668146875678619
609,0.0443067762,0.025,0.0472091503267974,0.360342577,0.129922093333333,0.069317483,0.215838,0.412742367591048,0.066522356058963
610,0.04325573192,0.025,0.047,0.360350847,0.129982724,0.068766318,0.21532,0.413417241647831,0.0662366612386003
611,0.04221085784,0.0249084967320262,0.047,0.361051559,0.130047245333333,0.068151773,0.213386,0.41407904054975,0.0659252508297291
612,0.0411931112,0.0242549019607843,0.047,0.3620530665,0.130113278333333,0.06760427,0.211452,0.414761248499354,0.065604045077165
613,0.04021970516,0.024,0.0466038961038961,0.363054574,0.130180823,0.067066772,0.209518,0.415453979239415,0.0652714577573211
614,0.03930362176,0.024,0.046,0.363894165,0.130248739666667,0.066496139,0.207584,0.416080619563054,0.0649089829247819
615,0.03845234104,0.024,0.046,0.3648765685,0.130315534,0.065893127,0.20565,0.416728610022376,0.0645608344064423
616,0.0376674902,0.024,0.046,0.365858972,0.130381206,0.065313075,0.203884,0.417392402163901,0.0642574015552556
617,0.03695085044,0.024,0.046,0.366761386,0.130444233333333,0.064777793,0.202118,0.41799733002323,0.0639359159010285
618,0.03630381976,0.024,0.046,0.367401823,0.130506758666667,0.064328454,0.200352,0.418601358288489,0.0636411833851011
619,0.03572562936,0.024,0.046,0.36804226,0.130568782,0.063950825,0.198586,0.419239683217619,0.0634245915978449
620,0.03521716372,0.024,0.046,0.368286192,0.130633762,0.063607641,0.19682,0.419861193223245,0.0632079557562091
621,0.03477924376,0.024,0.0453921568627451,0.368563965,0.130702226,0.063173544,0.195734,0.420458307386174,0.0629896670050464
